                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.8144,                 2.4792,                 1.1487,                0.95632,                0.05832,                0.08709,                0.06763,                0.81756,                 2.7347,                 1.0886,             0.00019312,             0.00019312,             0.00019312
                      2,                0.73472,                 1.1611,                 1.0556,                0.96553,                0.08296,                0.09832,                0.07277,                 0.9087,                 2.3407,                 1.1355,             0.00036344,             0.00036344,             0.00036344
                      3,                0.72827,                0.99665,                 1.0468,                0.97016,                0.08516,                0.09166,                0.07317,                0.75212,                 2.2299,                 1.0231,             0.00050788,             0.00050788,             0.00050788
                      4,                 0.7041,                0.87797,                  1.034,                0.96692,                0.08297,                 0.0918,                0.07077,                0.80996,                 2.3865,                 1.0575,             0.00047158,             0.00047158,             0.00047158
                      5,                0.68284,                0.80377,                 1.0145,                0.97215,                0.08496,                0.08917,                0.06998,                0.80011,                 2.1179,                 1.0066,             0.00047158,             0.00047158,             0.00047158
                      6,                0.75546,                 1.2642,                  1.058,                0.97131,                0.08625,                0.10542,                0.07957,                0.84694,                 2.0588,                 1.0874,             0.00043277,             0.00043277,             0.00043277
                      7,                0.71795,                0.99113,                 1.0338,                0.79045,                0.08734,                0.10307,                0.08145,                0.80128,                 2.1285,                 1.0385,             0.00039396,             0.00039396,             0.00039396
                      8,                0.70813,                0.88959,                 1.0315,                0.24511,                0.08735,                0.08293,                0.06461,                0.81384,                 1.9984,                 1.0692,             0.00035515,             0.00035515,             0.00035515
                      9,                0.67324,                0.79496,                 1.0113,                0.24545,                0.08686,                0.09041,                0.07166,                0.76568,                 1.9514,                0.98992,             0.00031634,             0.00031634,             0.00031634
                     10,                0.68188,                0.74346,                 1.0215,                0.24451,                0.08822,                 0.0881,                0.06981,                0.80001,                 1.9193,                 1.0133,             0.00027754,             0.00027754,             0.00027754
                     11,                0.65891,                 0.6831,                0.98566,                0.24536,                0.08776,                0.08825,                0.06931,                0.77076,                  1.865,                0.99613,             0.00023873,             0.00023873,             0.00023873
                     12,                0.64332,                0.63618,                0.98511,                0.24525,                0.08787,                0.07327,                0.05826,                0.78551,                 2.0162,                0.99846,             0.00019992,             0.00019992,             0.00019992
                     13,                0.62613,                 0.6124,                0.97101,                0.24555,                 0.0879,                0.08891,                0.07323,                0.75195,                 1.8586,                0.99037,             0.00016111,             0.00016111,             0.00016111
                     14,                0.60721,                0.58655,                0.98485,                0.24482,                0.08844,                0.09962,                 0.0816,                0.76715,                 1.8288,                0.98953,              0.0001223,              0.0001223,              0.0001223
                     15,                0.59919,                0.56827,                0.96393,                0.24477,                0.08817,                0.09269,                0.07701,                0.75411,                 1.8195,                0.98713,             8.3496e-05,             8.3496e-05,             8.3496e-05
